0,,,,Hi-Vol Data,,,LSC    (bgd 1.246 cpm),,,,,,,efficiency,,                     N0 / SCM Flow,,,,(2)bulk,,total flow SCM,SCF flow,IC-AG ,IC-AG,start date,2 x bulk,,fine+coarse,fine,coarse,  SO4 rev,bulk,bulk,bulk,  SO4 IC area,coarse,coarse,coarse,  SO4 IC area,fine,fine,fine,SO4 fine+coarse,
,OC40c S35 1/2,3/12-3/16/2020,3/12/20,1.130 SCMM,6019.5,6802.086,TJ142,3/30/20,12,4.634,3.388,4.839285714,0.442,879683.3012,18,1014501.091,149,9.283E-05,,298,SO1p263,,,1,,03/12/20,298,,,,,,,,,,,,, ,,,,,
,OC41c S35 1/2,3/16-3/19/2020,3/16/20,1.130 SCMM,4048.7,4575.267,TJ172,9/11/20,12,1.997,0.751,1.072142857,0.145,194893.6731,179,804672.3959,176,4.527E-05,,352,SF2p31,,,1,5/2018; BJ,03/16/20,352,,,,,,,,,,,,,,,,,,
,OC41c S35 1/2,3/16-3/19/2020,3/16/20,1.130 SCMM,4048.7,4575.267,TJ173,9/17/20,12,2.046,0.800,1.142142857,0.217,207618.2433,185,898936.3279,196,6.776E-05,,393,SF2p31,,,1,5/2018; BJ,03/16/20,393,,,,,,,,,,,,,,,,,,
,OC42c S35 1/2,3/19-3/23/2020,3/19/20,1.130 SCMM,5953.5,6728.005,TJ169,8/3/20,12,1.984,0.738,1.053571429,0.165,191517.7667,137,566938.6084,84,3.503E-05,,169,SF2p24,,,3,7/2020; BB,03/19/20,169,,,,,,,,,,,,,,,,,,
,OC43c S35 1/2,3/23-3/26/2020,3/23/20,1.130 SCMM,4103,4636.809,TJ148,4/24/20,12,4.510,3.264,4.662142857,0.324,847482.3479,32,1091997.467,236,9.982E-05,,471,SO1p286,,, ,,03/23/20,471,,,,,,,,,,,,,,,,,,
,OC44c S35 1/2,3/26-3/28/2020,3/26/20,1.130 SCMM,3335.3,3769.053,TJ143,4/2/20,12,3.372,2.126,3.036428571,0.256,551960.6957,7,583432.413,155,9.703E-05,,310,SO1p272,,,1,,03/26/20,310,,,,,,,,,,,,,,,,,,
,OC45c S35 1/2,3/28-3/30/2020,3/28/20,1.130 SCMM,2689.4,3039.077,TJ160,6/28/20,12,2.798,1.552,2.216428571,0.253,402901.4441,92,835045.9274,275,1.189E-04,,550,SO1p288,,,2,7/2020; AS,03/28/20,550,,,,,,,,,,,,,,,,,,
,OC46c S35 1/2,3/30-4/2/2020,3/30/20,1.130 SCMM,3947.7,4460.599,TJ160,6/29/20,12,2.445,1.199,1.712142857,0.162,311232.6012,91,639965.0811,143,5.188E-05,,287,SO1p289,,,1,7/2020; AU,03/30/20,287,,,,,,,,,,,,,,,,,,
,OC47c S35 1/2,4/2-4/6/2020,4/2/20,1.130 SCMM,6001.9,6782.593,TJ147,4/20/20,12,6.027,4.781,6.829285714,0.316,1241424.656,18,1431681.909,211,6.656E-05,,422,SO1p281,,,2,,04/02/20,422,,,,,,,,,,,,,,,,,,
,OC47c S35 1/2,4/2-4/6/2020,4/2/20,1.130 SCMM,6001.9,6782.593,TJ158,5/7/20,12,4.705,3.459,4.940714286,0.251,898120.9438,35,1185077.69,175,5.287E-05,,349,SO1p281,,,run 2,new vial,04/02/20,349,,,,,,,,,,,,,,,,,,
,OC47c S35 1/2,4/2-4/6/2020,4/2/20,1.130 SCMM,6001.9,6782.593,TJ159,5/19/20,12,4.077,2.831,4.043571429,0.221,735038.6964,47,1066611.631,157,4.655E-05,,315,SO1p281,,,run 3,new vial,04/02/20,315,,,,,,,,,,,,,,,,,,
,OC48c S35 1/2,4/6-4/9/2020,4/6/20,1.130 SCMM,4259.2,4812.93,TJ147,4/21/20,12,2.992,1.746,2.493571429,0.276,453280.3549,15,510472.1338,106,8.192E-05,,212,SO1p282,,,2,,04/06/20,212,,,,,,,,,,,,,,,,,,
,OC49c S35 1/2,4/9-4/13/2020,4/9/20,1.130 SCMM,6001.9,6782.593,TJ147,4/21/20,12,3.590,2.344,3.347857143,0.192,608572.0491,12,669261.9209,99,4.044E-05,,197,SO1p283,,,2,,04/09/20,197,,,,,,,,,,,,,,,,,,
,OC50c S35 1/2,4/13-4/16/2020,4/13/20,1.130 SCMM,4208.8,4756.367,TJ169,8/3/20,12,3.242,1.996,2.850714286,0.157,518201.6317,112,1258395.541,265,4.715E-05,,529,SF2p25,,,1,7/2020; BG,04/13/20,529,,,,,,,,,,,,,,,,,,
,OC51c S35 1/2,4/16-4/20/2020,4/16/20,1.130 SCMM,5940.8,6713.596,TJ169,8/2/20,12,3.545,2.299,3.283571429,0.310,596886.2193,108,1404263.395,209,6.596E-05,,418,SF2p22,,,3,5/2018; BD,04/16/20,418,,,,,,,,,,,,,,,,,,
,OC52c S35 1/2,4/20-4/23/2020,4/20/20,1.130 SCMM,4056.9,4584.63,TJ161,4/20/20,12,4.296,3.050,4.356428571,0.394,791909.7349,0,791909.7349,173,1.228E-04,,345,SO1p292,,,3,5/2018; AP,04/20/20,345,,,,,,,,,,,,,,,,,,
,OC53c S35 1/2,4/25-4/27/2020,4/25/20,1.130 SCMM,5887.0,6652.877,TJ169,8/2/20,12,2.900,1.654,2.362142857,0.120,429389.325,99,940687.0845,141,2.577E-05,,283,SF2p23,,,1,5/2018; BE,04/25/20,283,,,,,,,,,,,,,,,,,,
,OC54c S35 1/2,4/27-5/4/2020,4/27/20,1.130 SCMM,10102.5,11416.604,TJ162,7/3/20,12,5.025,3.779,5.397857143,0.677,981220.1782,67,1668281.903,146,8.471E-05,,292,SO2p6,,,1,5/2018; AY,04/27/20,292,,,,,,,,,,,,,,,,,,
,OC55c S35 1/2,5/4-5/11/2020,5/4/20,1.130 SCMM,9972.1,11268.786,TJ169,8/1/20,12,7.730,6.484,9.262142857,0.221,1683668.394,89,3407587.913,302,2.802E-05,,605,SF2p20,,,2,5/2018; BC,05/04/20,605,,,,,,,,,,,,,,,,,,
,OC55c S35 1/2,5/4-5/11/2020,5/4/20,1.130 SCMM,9972.1,11268.786,TJ170,8/20/20,12,6.211,4.965,7.092142857,0.292,1289206.715,108,3033050.088,269,3.702E-05,,538,SF2p20,,,2,5/2018; BC,05/04/20,538,,,,,,,,,,,,,,,,,,
,OC56c S35 1/2,5/11-5/19/2020,5/11/20,1.130 SCMM,11413.9,12898.742,TJ162,7/3/20,12,7.000,5.754,8.219285714,0.366,1494098.265,53,2273617.117,176,4.054E-05,,353,SO2p7,,,1,5/2018; AZ,05/11/20,353,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UH31b S35 2/1 coarse,9/11-9/13/2019,09/11/19,40.0(±0.5) SCFM,2819.7,3193.285,TJ57,9/24/19,12,1.747,0.501,0.715,0.180,129972.3962,13,144070.6722,45,8.053E-05,,,SO1p71,3193.285,112769.8,,,09/11/19,,,,,,,,,,,,,,,,,,,
,UH32b S35 2/1 coarse,9/13-9/17/2019,09/13/19,39.5(±0.5) SCFM,5382.9,6074.076,TJ55,9/20/19,12,2.482,1.236,1.765,0.296,320840.9501,7,339134.6725,56,6.962E-05,,,SO1p72,6074.076,214504.0,,,09/13/19,,,,,,,,,,,,,,,,,,,
,UH33b S35 2/1 coarse,9/17-9/24/2019,09/17/19,38.8(±0.3) SCFM,10038.1,11261.207,TJ58,9/27/19,12,3.043,1.797,2.566428571,0.198,466524.2954,10,504984.0879,45,2.512E-05,,,S01p80,11261.207,397685.8,,,09/17/19,,,,,,,,,,,,,,,,,,,
,UH36b S35 2/1 coarse,9/24-9/27/2019,09/24/19,39.4(±0.2) SCFM,4696.4,5290.025,TJ62,10/4/19,12,5.003,3.757,5.366428571,0.327,975507.1058,10,1055926.928,200,8.831E-05,,,SO1p81,5290.025,186815.5,,,09/24/19,,,,,,,,,,,,,,,,,,,
,UH37b S35 2/1 coarse,9/27-9/30/2019,09/27/19,38.4(±0.5) SCFM,4232.1,4716.210,TJ64,10/10/19,12,2.665,1.419,2.026428571,0.154,368363.3248,13,408320.1767,87,4.665E-05,,,S01p83,4716.210,166551.4,,,09/27/19,,,,,,,,,,,,,,,,,,,
,UH39b S35 2/1 coarse,9/30-10/3/2019,09/30/19,36.7(±0.1) SCFM,4241.2,4590.832,TJ65,10/11/19,12,2.819,1.573,2.246428571,0.252,408354.8313,11,445534.6331,97,7.842E-05,,,S01p86,4590.832,162123.7,,,09/30/19,,,,,,,,,,,,,,,,,,,
,UH40b S35 2/1 coarse,10/3-10/7/2019,10/03/19,36.5(±1.0) SCFM,5776.1,6072.595,TJ67,10/15/19,12,3.627,2.381,3.400714286,0.363,618180.3981,12,679828.4629,112,8.540E-05,,,S01p91,6072.595,214451.7,n/a,,10/03/19,,,,,,,,,,,,,,,,,,,
,UH41b S35 2/1 coarse,10/7-10/10/2019,10/07/19,38.0(±1.0) SCFM,4267.9,4472.385,TJ76,11/3/19,12,2.776,1.530,2.185,0.228,397188.3717,27,491910.147,110,7.283E-05,,,S01p93,4472.385,157940.8,3,,10/07/19,,,,,,,,,,,,,,,,,,,
,UH43b S35 2/1 coarse,10/10-10/14/2019,10/10/19,39.0(±1.0) SCFM,5636.1,5750.958,TJ75,10/31/19,12,4.298,3.052,4.359285714,0.261,792429.1051,21,935852.9578,163,6.483E-05,,,S01p96,5750.958,203093.2,5,,10/10/19,,,,,,,,,,,,,,2.0753,,,,,
,UH45b S35 2/1 coarse,10/14-10/18/2019,10/14/19,35.7(±0.2) SCFM,6070.9,6142.215,TJ74,10/31/19,12,4.340,3.094,4.419285714,0.154,803335.8796,17,919142.8055,150,3.582E-05,,,S01p100,6142.215,216910.3,2,,10/14/19,,,,,,,,,,,,,,,,,,,
,UH47b S35 2/1 coarse,10/18-10/22/2019,10/18/19,40.0 SCFM,5015.8,4883.333,TJ76,11/2/19,12,3.095,1.849,2.640714286,0.232,480027.921,15,540594.5227,111,6.787E-05,,,S01p108,4883.333,172453.3,1,,10/18/19,,,,,,,,,,,,,,1.7691,,,,,
,UH49b->a S35 2/1 coarse,10/22-10/25/2019,10/22/19,37 SCFM,2659.5,2921.534,TJ84,11/24/19,12,2.100,0.854,1.219285714,0.122,221641.2391,33,287860.3719,99,5.966E-05,,,S01p110,2921.534,103173.0,,,10/22/19,,,,,,,,,,,,,,,,,,,
,PH1a S35 2/1 coarse,10/25-10/28/2019,10/25/19,41.0(±0.02) SCFM,4004.0,4535.546,TJ75,11/1/19,12,2.100,0.854,1.219285714,0.297,221641.2391,7,234278.7883,52,9.355E-05,,,S01p113,4535.546,160171.3,2,,10/25/19,,,,,,,,,,,,,,1.4655,,,,,
,PH3a S35 2/1 coarse,10/28-11/1/2019,10/28/19,40.0 SCFM,5988.7,6782.702,TJ78,11/10/19,12,3.608,2.362,3.373571429,0.085,613246.381,13,679766.0186,100,1.790E-05,,,S01p118,6782.702,239528.9,3,,10/28/19,,,,,,,,,,,,,,1.4194,,,,,
,PH5a S35 2/1 coarse,11/1-11/5/2019,11/01/19,40.0 SCFM,5422.7,6141.465,TJ79,11/12/19,12,4.351,3.105,4.435,0.491,806192.4158,11,879594.4474,143,1.142E-04,,,S01p124,6141.465,216883.8,ck,,11/01/19,,,,,,,,,,,,,,1.3818,,,,,
,PH7a S35 2/1 coarse,11/5-11/8/2019,11/05/19,40.0 SCFM,4484.5,5078.980,TJ84,11/24/19,12,2.835,1.589,2.269285714,0.323,412509.793,19,479513.4315,94,9.085E-05,,,S01p123,5078.980,179362.5,5,,11/05/19,,,,,,,,,,,,,,2.5425,,,,,
,PH9a S35 2/1 coarse,11/8-11/12/19,11/08/19,40.0 SCFM,5627.8,6373.875,TJ83,11/22/19,12,3.302,2.056,2.936428571,0.327,533782.7382,14,596388.5879,94,7.329E-05,,,S01p128,6373.875,225091.3,2,,11/08/19,,,,,,,,,,,,,,3.8669,,,,,
,PH15a S35 2/1 coarse,11/22-11/30/2019,11/22/19,40.0 SCFM,11343.7,12847.222,TJ97,12/28/19,12,4.764,3.518,5.025,0.394,913442.3651,36,1214880.304,95,4.381E-05,,,S01p147,12847.222,453695.4,1,,11/22/19,,,,,,,,,,,,,,4.0129,,,,,
,PH17a S35 2/1 coarse,11/30-12/5/2019,11/30/19,40.0 SCFM,6889.7,7803.482,TJ98,12/31/19,12,3.124,1.878,2.682142857,0.262,487558.7891,31,623271.9997,80,4.796E-05, ,,S01p150,7803.482,275577.4,ck,,11/30/19,,,,,,,,,,,,,,1.2762,,,,,
,PH19a S35 2/1 coarse,12/5-12/9/19,12/05/19,40.0 SCFM,5706.9,6463.824,TJ91,12/14/19,12,2.867,1.621,2.315,0.216,420819.7165,9,451917.5057,70,4.774E-05, ,,S01p152,6463.824,228267.8,4,,12/05/19,,,,,,,,,,,,,,,,,,,
,PH21a S35 2/1 coarse,12/9-12/12/19,12/09/19,40.0(±0.5) SCFM,4275.7,4842.622,TJ99,1/4/20,12,3.008,1.762,2.516428571,0.343,457435.3166,26,562054.7269,116,1.012E-04,,,SO1p156,4842.622,171015.6,3,,12/09/19,,,,,,,,,,,,,,,,,,,
,PH23a S35 2/1 coarse,12/12-12/16/19,12/12/19,40.0(±0.5) SCFM,5713.7,6471.010,TJ102,1/8/20,12,2.857,1.611,2.300714286,0.501,418222.8654,27,517960.9623,80,1.106E-04,,,SO1p164,6471.010,228521.6,1,,12/12/19,,,,,,,,,,,,,,2.5294,,,,,
,PH25a S35 2/1 coarse,12/17-12/20/2019,12/17/19,40.0 SCFM,4571.4,5177.446,TJ111,1/26/20,12,3.253,2.007,2.866428571,0.207,521058.1679,40,715319.263,138,5.712E-05,,,SO1p170,5177.446,182839.8,6,,12/17/19,,,,,,,,,,,,,, ,,,,,
,PH27a S35 2/1 coarse,12/20-12/24/2019,12/20/19,40.0 SCFM,5610.0,6353.535,TJ97,12/29/19,12,3.614,2.368,3.382142857,0.270,614804.4917,9,660237.3926,104,6.071E-05,,,SO1p171,6353.535,224373.0,ck,,12/20/19,,,,,,,,,,,,,, ,,,,,
,PH29a S35 2/1 coarse,12/24-12/27/2019,12/24/19,40.0 SCFM,4276.7,4843.707,TJ99,1/5/20,12,2.879,1.633,2.332142857,0.325,423935.9378,12,466212.966,96,9.585E-05,,,SO1p174,4843.707,171053.9,3,,12/24/19,,,,,,,,,,,,,, ,,,,,
,PH31a S35 2/1 coarse,12/27-12/31/2019,12/27/19,40.0 SCFM,5507.5,6237.385,TJ115,2/3/20,12,2.498,1.252,1.787857143,0.210,324995.9119,38,439148.0157,70,4.810E-05,,,SO1p175,6237.385,220271.2,1,,12/27/19,,,,,,,,,,,,,, ,,,,,
,PH33a S35 2/1 coarse,12/31-1/4/2020,12/31/19,40.0 SCFM,5389.8,6104.254,TJ107,1/18/20,12,2.949,1.703,2.432142857,0.286,442113.8953,18,509871.0281,84,6.693E-05,,,S01p179,6104.254,215569.7,1,,12/31/19,,,,,,,,,,,,,,,,,,,
,PH35a S35 2/1 coarse,1/4-1/7/2020,01/04/20,40.0 SCFM,4084.7,4625.987,TJ104,1/9/20,12,2.975,1.729,2.469285714,0.374,448865.7081,5,467001.3564,101,1.155E-04,,,S01p187,4625.987,163365.2,2,,01/04/20,,,,,,,,,,,,,,,,,,,
,PH37a S35 2/1 coarse,1/7-1/10/2020,01/07/20,40.0 SCFM,4628.3,5242.439,TJ115,2/2/20,12,1.981,0.735,1.049285714,0.166,190738.7114,26,234362.3031,45,4.524E-05,,,S01p188,5242.439,185135.0,2,,01/07/20,,,,,,,,,,,,,,,,,,,
,PH39a S35 2/1 coarse,1/10-1/14/2020,01/10/20,40.0 SCFM,5439.7,6160.935,TJ113,1/30/20,12,2.878,1.632,2.330714286,0.268,423676.2527,20,496410.522,81,6.214E-05,,,S01p193,6160.935,217571.4,ck,,01/10/20,,,,,,,,,,,,,,,,,,,
,PH41a S35 2/1 coarse,1/14-1/17/2020,01/14/20,40.0 SCFM,4134.5,4682.674,TJ110,1/24/20,12,3.779,2.533,3.617857143,0.230,657652.5344,10,711868.7462,152,7.017E-05,,,S01p199,4682.674,165367.1,4,,01/14/20,,,,,,,,,,,,,,,,,,,
,PH43a S35 2/2 coarse,1/17-1/22/2020,01/17/20,40.0(±0.5) SCFM,7182.0,8133.787,TJ111,1/26/20,12,6.477,5.231,7.472142857,0.109,1358282.954,9,1458657.521,179,1.914E-05,,,SO1p203,8133.787,287242.0,3,,01/17/20,,,,,,,,,,,,,, ,,,,,
,PH47a S35 2/2 coarse,1/27-1/30/2020,01/27/20,40.0(±0.5) SCFM,4000.0,4530.233,TJ120,2/10/20,12,2.090,0.844,1.205,0.193,219044.3881,14,244735.4774,54,6.086E-05,,,SO1p210,4530.233,159983.7,ck,,01/27/20,,,,,,,,,,,,,, ,,,,,
,PH49a S35 2/2 coarse,1/30-2/3/2020,01/30/20,40.0(±0.5) SCFM,5649.1,6397.794,TJ116,2/6/20,12,2.536,1.290,1.842142857,0.180,334863.9459,7,353957.232,55,4.019E-05,,,SO1p216,6397.794,225936.0,3,,01/30/20,,,,,,,,,,,,,, ,,,,,
,PH51a S35 2/2 coarse,2/3-2/6/2020,02/03/20,40.0(±0.5) SCFM,4642.3,5257.821,TJ120,2/11/20,12,3.035,1.789,2.555,0.258,464446.8145,8,494833.087,94,7.010E-05,,,SO1p218,5257.821,185678.2,ck,,02/03/20,,,,,,,,,,,,,, ,,,,,
,PH53a S35 2/2 coarse,2/6-2/10/2020,02/06/20,40.0(±0.5) SCFM,5326.6,6032.476,TJ125,2/20/20,12,3.623,2.377,3.395,0.295,617141.6576,14,689524.4365,114,6.986E-05,,,SO1p224,6032.476,213034.9,5,,02/06/20,,,,,,,,,,,,,, ,,,,,
,PH55a S35 2/2 coarse,2/10-2/13/2020,02/10/20,40.0(±0.5) SCFM,4026.9,4560.566,TJ123,2/16/20,12,3.344,2.098,2.996428571,0.258,544689.5127,6,571203.7769,125,8.082E-05,,,SO1p228,4560.566,161054.9,3,,02/10/20,,,,,,,,,,,,,, ,,,,,
,PH57a S35 2/2 coarse,2/13-2/17/2020,02/13/20,40.0(±0.5) SCFM,6048.4,6850.210,TJ124,2/19/20,12,4.518,3.272,4.673571429,0.255,849559.8287,6,890914.4964,130,5.318E-05,,,SO1p232,6850.210,241912.9,5,,02/13/20,,,,,,,,,,,,,, ,,,,,
,PH59a S35 2/2 coarse,2/17-2/20/2020,02/17/20,40.0(±0.5) SCFM,4002.5,4533.227,TJ126,2/23/20,12,4.137,2.891,4.129285714,0.262,750619.8028,6,787158.2918,174,8.256E-05,,,SO1p234,4533.227,160089.4,3,,02/17/20,,,,,,,,,,,,,, ,,,,,
,PH61a S35 2/2 coarse,2/20-2/24/2020,02/20/20,40.0(±0.5) SCFM,5536.7,6270.581,TJ130,2/28/20,12,3.621,2.375,3.392142857,0.124,616622.2874,8,656964.5877,105,2.825E-05,,,SO1p240,6270.581,221443.5,4,,02/20/20,,,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UH31b S35 2/2 fine,9/11-9/13/2019,09/11/19,40.0(±0.5) SCFM,2819.7,3193.285,TJ56,9/21/19,12,4.114,2.868,4.096428571,0.857,744647.0454,10,806034.997,252,3.834E-04,,,S01p70,3193.285,112769.8,2,,09/11/19,,,,323=274+49,,,,,,,,,,,,,,,
,UH32b S35 2/2 fine,9/13-9/17/2019,09/13/19,39.5(±0.5) SCFM,5382.9,6074.076,TJ56,9/22/19,12,5.659,4.413,6.303571429,0.347,1145860.536,9,1230537.485,203,8.161E-05,,,S01p73,6074.076,214504.0,2,,09/13/19,,,,279,,,,,,,,,,,,,,,
,UH33b S35 2/2 fine,9/17-9/24/2019,09/17/19,38.8(±0.3) SCFM,10038.1,11261.207,TJ60,10/2/19,12,7.534,6.288,8.982142857,0.537,1632770.113,15,1838781.748,163,6.812E-05,,,S01p80,11261.207,397685.8,n/a,,09/17/19,,,,,,,,,,,,,,,,,,,
,UH36b S35 2/2 fine,9/24-9/27/2019,09/24/19,39.4(±0.2) SCFM,4696.4,5290.025,TJ59,10/1/19,12,7.251,6.005,8.577857143,0.683,1559279.227,7,1648186.273,312,1.844E-04,,,S01p82,5290.025,186815.5,3,Y113 had extra digit; fix 1/25,09/24/19,,,,,,,,,,,,,,,,,,,
,UH37b S35 2/2 fine,9/27-9/30/2019,09/27/19,38.4(±0.5) SCFM,4232.1,4716.216,TJ62,10/5/19,12,5.023,3.777,5.395,0.271,980700.8079,8,1044862.82,222,8.209E-05,,,S01p84,4716.216,166551.6,5,,09/27/19,,,,,,,,,,,,,,,,,,,
,UH39b S35 2/1 fine,9/30-10/3/2019,09/30/19,36.7(±0.1) SCFM,4241.2,4590.832,TJ65,10/11/19,12,5.257,4.011,5.729285714,0.086,1041467.123,11,1136290.395,248,2.676E-05,,,S01p87,4590.832,162123.7,n/a,,09/30/19,,,,,,,,,,,,,,,,,,,
,UH40b S35 2/2 fine,10/3-10/7/2019,10/03/19,36.5(±1.0) SCFM,5776.1,6072.595,TJ67,10/16/19,12,8.498,7.252,10.35928571,0.110,1883106.556,13,2087369.589,344,2.588E-05,,,S01p92,6072.595,214451.7,n/a,,10/03/19,,,,,,,,,,,,,,,,,,,
,UH41b S35 2/2 fine,10/7-10/10/2019,10/07/19,38.0(±1.0) SCFM,4267.9,4472.385,TJ68,10/21/19,12,5.602,4.356,6.222142857,0.332,1131058.485,14,1263717.098,283,1.060E-04,,,S01p94,4472.385,157940.8,n/a,,10/07/19,,,,,,,,,,,,,,,,,,,
,UH43b S35 2/2 fine,10/10-10/14/2019,10/10/19,39.0(±1.0) SCFM,5636.1,5750.958,TJ76,11/2/19,12,8.823,7.577,10.82357143,0.420,1967504.216,23,2360714.982,410,1.043E-04,,,S01p97,5750.958,203093.2,1,,10/10/19,,,,,,,,,,,,,,,,,,,
,UH45b S35 2/2 fine,10/14-10/18/2019,10/14/19,35.7(±0.2) SCFM,6070.9,6142.215,TJ76,11/3/19,12,9.048,7.802,11.145,0.781,2025933.365,20,2373733.796,386,1.816E-04,,,SO1p101,6142.215,216910.3,4,,10/14/19,,,,,,,,,,,,,,,,,,,
,UH47b S35 2/2 fine,10/18-10/22/2019,10/18/19,35.7(±0.2) SCFM,5015.8,4883.333,TJ70,10/25/19,12,3.721,2.475,3.535,0.250,642590.7982,7,679230.0664,139,7.314E-05,,,SO1p106,4883.333,172453.3,n/a,,10/18/19,,,,,,,,,,,,,,,,,,,
,UH49b->a S35 2/2 fine,10/22-10/25/2019,10/22/19,37 SCFM,2659.5,2921.534, ,11/24 (coarse), , ,#VALUE!,#VALUE!,0.232,#VALUE!,#VALUE!,#VALUE!, , ,,,S01p111,2921.534,103173.0,,,10/22/19,,,,,,,,,,,,,,,,,,,
,PH1a S35 2/2 fine,10/25-10/28/2019,10/25/19,40.0 SCFM,4004.0,4535.546,TJ79,11/13/19,12,7.681,6.435,9.192142857,0.520,1670943.823,19,1942353.903,428,1.638E-04,,,S01p114,4535.546,160171.3,3,,10/25/19,,,,,,,,,,,,,,,,,,,
,PH3a S35 2/2 fine,10/28-11/1/2019,10/28/19,40.0 SCFM,5988.7,6782.702,TJ78,11/9/19,12,15.333,14.087,20.12357143,0.766,3658054.265,12,4022853.872,593,1.613E-04,,,S01p119,6782.702,239528.9,4,,10/28/19,,,,,,,,,,,,,,,,,,,
,PH5a S35 2/2 fine,11/1-11/5/2019,11/01/19,40.0 SCFM,5422.7,6141.465,TJ84,11/23/19,12,8.343,7.097,10.13785714,0.323,1842855.364,22,2193707.868,357,7.513E-05,,,S01p122,6141.465,216883.8,ck,,11/01/19,,,,,,,,,,,,,,1.8813,,,,,
,PH7a S35 2/2 fine,11/5-11/8/2019,11/05/19,40.0 SCFM,4484.5,5078.980,TJ82,11/16/19,12,7.747,6.501,9.286428571,0.288,1688083.04,11,1841779.258,363,8.101E-05,,,S01p126,5078.980,179362.5,n/a,copy,11/05/19,,,,,,,,,,,,,,,,,,,
,PH9a S35 2/2 fine,11/8-11/12/2019,11/08/19,40.0 SCFM,5627.8,6373.875,TJ94,12/23/19,12,5.352,4.106,5.865,0.327,1066137.208,45,1522749.715,239,7.329E-05,,,S01p130,6373.875,225091.3,n/a,ok,11/08/19,,,,,,,,,,,,,,2.6750,,,,,
,PH11a S35 2/2 fine,11/12-11/15/2019,11/12/19,40.0 SCFM,4277.7,4844.984,TJ96,12/26/19,12,4.221,2.975,4.249285714,0.227,772433.3518,44,1094551.249,226,6.693E-05,,,S01p131,4844.984,171099.0,3,,11/12/19,,,,,,,,,,,,,,2.2243,,,,,
,PH13a S35 2/2 fine,11/15-11/22/19,11/15/19,40.0 SCFM,9880.4,11189.851,TJ94,12/23/19,12,7.697,6.451,9.215,0.310,1675098.785,38,2263463.264,202,3.958E-05,,,S01p142,11189.851,395165.9,3,,11/15/19,,,,,,,,,,,,,,2.4435,,,,,
,PH15a S35 2/2 fine,11/22-11/30/19,11/22/19,40.0 SCFM,11343.7,12847.222,TJ96,12/26/19,12,5.134,3.888,5.553571429,0.249,1009525.855,34,1321566.744,206,2.769E-05,,,S01p144,12847.222,453695.4,4,1/2 filter only;colm T x2,11/22/19,,,,,,,,,,,,,,4.0129,,,,,
,PH17a S35 2/2 fine,11/30-12/5/2019,11/30/19,40.0 SCFM,6889.7,7803.482,TJ104,1/9/20,12,3.935,2.689,3.840714286,0.261,698163.4111,40,958452.9472,123,4.778E-05, ,,S01p151,7803.482,275577.4,3,,11/30/19,,,,,,,,,,,,,,0.6509,,,,,
,PH19a S35 2/2 fine,12/5-12/9/19,12/05/19,40.0 SCFM,5706.9,6463.824,TJ92,12/16/19,12,4.141,2.895,4.135,0.334,751658.5433,11,820095.3867,127,7.382E-05, ,,S01p154,6463.824,228267.8,5,,12/05/19,,,,,,,,,,,,,,,,,,,
,PH21a S35 2/2 fine,12/9-12/12/19,12/09/19,40.0 SCFM,4275.7,4842.622,TJ106,1/12/20,12,2.693,1.447,2.066428571,0.296,375634.5078,34,491741.8123,102,8.732E-05,,,S01p158,4842.622,171015.6,5,,12/09/19,,,,,,,,,,,,,,,,,,,
,PH23a S35 2/2 fine,12/12-12/16/19,12/12/19,40.0(±0.5) SCFM,5713.7,6471.010,TJ106,1/13/20,12,3.823,2.577,3.680714286,0.151,669078.6791,32,862120.8743,133,3.334E-05,,,SO1p159,6471.010,228521.6,3,,12/12/19,,,,,,,,,,,,,,,,,,,
,PH25a S35 2/2 fine,12/17-12/20/19,12/17/19,40.0(±0.5) SCFM,4571.4,5177.446,TJ107,1/17/20,12,7.602,6.356,9.079285714,0.350,1650428.7,31,2109829.664,408,9.657E-05,,,SO1p168,5177.446,182839.8,4,,12/17/19,,,,,,,,,,,,,, ,,,,,
,PH27a S35 2/2 fine,12/20-12/24/19,12/20/19,40.0(±0.5) SCFM,5610.0,6353.535,TJ114,1/31/20,12,6.354,5.108,7.296428571,0.320,1326341.686,42,1849906.666,291,7.195E-05,,,SO1p169,6353.535,224373.0,5,,12/20/19,,,,,,,,,,,,,, ,,,,,
,PH29a S35 2/2 fine,12/24-12/27/19,12/24/19,40.0(±0.5) SCFM,4276.7,4843.707,TJ118,2/7/20,12,4.208,2.962,4.230714286,0.572,769057.4454,45,1098434.607,227,1.687E-04,,,SO1p176,4843.707,171053.9,5,,12/24/19,,,,,,,,,,,,,, ,,,,,
,PH31a S35 2/2 fine,12/27-12/31/19,12/27/19,40.0(±0.5) SCFM,5507.5,6237.385,TJ121,2/11/20,12,5.249,4.003,5.717857143,0.281,1039389.642,46,1496353.328,240,6.436E-05,,,SO1p177,6237.385,220271.2,3,,12/27/19,,,,,,,,,,,,,, ,,,,,
